Rank,Title,Rating,Genres
1,The Shawshank Redemption,9.3,['Drama']
2,The Godfather,9.2,"['Crime, Drama']"
3,The Dark Knight,9.0,"['Action, Crime, Drama']"
4,The Godfather Part II,9.0,"['Crime, Drama']"
5,12 Angry Men,9.0,"['Crime, Drama']"
6,Schindler&apos;s List,9.0,"['Biography, Drama, History']"
7,The Lord of the Rings: The Return of the King,9.0,"['Action, Adventure, Drama']"
8,Pulp Fiction,8.9,"['Crime, Drama']"
9,The Lord of the Rings: The Fellowship of the Ring,8.9,"['Action, Adventure, Drama']"
10,"Il buono, il brutto, il cattivo",8.8,"['Adventure, Drama, Western']"
